,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,MATICUSDT,SOLUSDT,DOTUSDT,LTCUSDT
BTCUSDT,1.0,0.037437055716641736,0.4480700298772862,0.00013161496599346648,0.023876344703927316,0.0016624359714944388,0.19165628239996038,0.00036962328423617894,0.05994813369966188,0.09735975443588868
ETHUSDT,0.7009515115938663,1.0,-0.5667877578091864,-0.03979210011955347,0.1315918156506463,0.0032629535539469745,0.06043596266063633,0.00042035263183339136,-0.1966674814916396,0.13441339749617925
BNBUSDT,0.6019504950939174,-0.04066764747202884,1.0,0.011489942597840613,0.005529692847465602,-1.0606690650959015e-05,0.20531072811557965,0.0004125107915424165,0.1382068444839316,0.0583681311558745
XRPUSDT,0.15295588911924182,-2.469855223437811,9.939485538819206,1.0,-1.9494642975019323,-0.034395835966536344,-2.6342918448177373,0.006693607731546536,7.376476621635338,-0.37805966349030173
ADAUSDT,0.5149355089046758,0.1515750042434924,0.08877100354332658,-0.03617756726400992,1.0,-0.0032223142159996435,1.3763978741441203,-0.004091292495154146,0.36387042494461197,-0.80246148822376
DOGEUSDT,1.8616850191348482,0.1951577837800279,-0.00884150708618255,-0.03314409908840753,-0.16731857728034472,1.0,0.6255704624670491,-0.014018570843214522,-1.2411272806555114,7.633799242838969
MATICUSDT,0.7991919479858487,0.013459756191867605,0.6372719501609668,-0.009452158602414064,0.26612583206238455,0.002329394243042695,1.0,0.0120380121240525,0.06843836002285977,-0.07515352750058775
SOLUSDT,1.6279113501643565,0.09887782611502804,1.3523585908829052,0.025367096453594865,-0.835500969376627,-0.055133288048039714,12.71446721061983,1.0,-7.190638876979976,0.169274405691774
DOTUSDT,0.6948116741473482,-0.12174123552779381,1.1923564658124337,0.07356639639742768,0.195547918195989,-0.012845366052567182,0.19022298561459208,-0.018922891031031293,1.0,-0.28022499499958253
LTCUSDT,0.8460641803737033,0.06238498956801606,0.37755893062893453,-0.0028269833811458487,-0.3233426826328251,0.059238396865618305,-0.15661926052530012,0.0003339978775988903,-0.21010639416807875,1.0
